"iata_code","airline_name","region","functional_currency","ebit_usd","load_factor","low_cost_carrier","airline_age","num_routes","passenger_yield","ask","avg_fleet_age","fleet_size","aircraft_utilisation"
"AD","Azul Brazilian Airlines","Latin America","BRL","596840322","0.804","Y","15","160","0.101","44006000000","7.4","183","10"
"ET","Ethiopian Airlines","Africa","ETB","1032026865","0.703","N","78","136","0.107","64498706000","8.8","154","8.8"
"G3","GOL","Latin America","BRL","655050679","0.84","Y","23","77","0.088","10732000000","10.7","141","11.7"
"FR","Ryanair","Europe","EUR","1592200000","0.93","Y","40","228","0.057","222000000000","9","537","9.1"
"BA","British Airways","Europe","GBP","1821880000","0.836","N","50","200","0.115","167695000000","13","284","10.03"
"W6","Wizz Air","Europe","EUR","-485500000","0.878","Y","21","1057","0.047","97779087000","4.6","179","11.1"
"BT","Air Baltic","Europe","EUR","88623000","0.767","N","29","126","0.089","8213000000","3.1","46","6.9"
"OU","Croatia Airlines","Europe","EUR","4505000","0.653","N","35","44","0.16","1991000000","18.15","12","8.8"
"LS","Jet2.com","Europe","GBP","472000000","0.905","Y","22","470","0.063","73641632850","15","120","11.8"
"U2","EasyJet","Europe","GBP","581000000","0.893","Y","29","1018","0.062","113334000000","9.3","336","11.8"
"Y4","Volaris","North America","USD","222710000","0.85","Y","19","231","0.058","62574000000","5.7","129","13.3"
"F9","Frontier Airlines","North America","USD","-3000000","0.814","Y","30","271","0.071","60868260000","4.3","136","11.3"
"VB","Viva Aerobus","North America","USD","107000000","0.867","Y","18","160","0.037","33925000000","5.4","81","12.6"
"DY","Norwegian","Europe","NOK","202120000","0.847","Y","31","300","0.068","32300000000","8.3","87","11.8"
"G4","Allegiant Air","North America","USD","220981000","0.859","N","27","552","0.047","30210782000","15.5","126","6.2"
"N0","Norse Atlantic Airways","Europe","USD","-135223000","0.74","Y","3","25","0.046","8672000000","6","10","11.8"
"OG","FlyPlay","Europe","USD","-20686000","0.83","Y","5","76","0.043","5415000000","3","10","11.8"
"WN","Southwest Airlines","North America","USD","224000000","0.8","Y","58","700","0.108","274050000000","11","817","11.8"
"EY","Etihad","Middle East","AED","394000000","0.858","Y","17","150","0.063","72500000000","7.9","85","11.8"
"AK","AirAsiaX","Asia Pacific","MYR","104259000","0.8","Y","18","315","0.03","15604000000","12.1","18","11.8"
"KQ","Kenya Airways","Africa","KES","76000000","0.784","N","47","42","0.111","14804000000","13.5","40","8.8"
"LA","LATAM Airlines","Latin America","USD","1078165000","0.831","N","95","148","0.09","137000000000","11.48","333","8.8"
"AV","Avianca","Latin America","USD","618544000","0.824","N","104","147","0.083","54706000000","9.3","140","8.8"
"WY","Oman Air","Middle East","OMR","-258420764","0.74","N","31","46","0.102","108697972267","7","50","8.8"
"CA","Air China","Asia Pacific","CNY","406971800","0.732","N","36","336","0.086","292513160000","9.4","905","8.14"
"6E","IndiGo","Asia Pacific","INR","1216149848","0.821","Y","18","400","0.066","114359000000","3.5","300","16"
"EK","Emirates","Middle East","AED","3778110389","0.795","N","39","150","0.102","171500000000","9.1","260","8.8"
"LO","LOT Polish Airlines","Europe","PLN","286860000","0.806","N","95","100","0.102","108697972267","11","76","8.8"
"TS","Air Transat","North America","CAD","67726000","0.85","N","38","224","0.102","108697972267","11","36","8.8"
"TK","Turkish Airlines","Middle East","TKL","3959000000","0.826","N","91","364","0.091","235000000000","9.3","440","8.8"
"VN","Vietnam Airlines","Asia Pacific","VND","-246300000","0.788","N","69","56","0.081","42200000000","11.4","101","8.8"
"NK","Spirit Airlines","North America","USD","-495757000","0.813","Y","41","315","0.074","89565887000","6.6","205","11.1"
"EI","Aer Lingus","Europe","EUR","241785000","0.81","N","30","100","0.09","31574200000","13","57","8.8"
"SK","Scandinavian Airlines","Europe","SEK","-268050000","0.754","N","78","125","0.107","39736000000","8.6","134","8.8"
"AS","Alaska Airlines","North America","USD","394000000","0.837","N","92","224","0.103","110255000000","8.4","314","11.4"
"SY","Sun Country Airlines","North America","USD","127500000","0.863","N","42","224","0.11","9726892839","15","42","6.9"
"CZ","China Southern Airlines","Asia Pacific","CNY","782800000","0.78","N","36","224","0.078","316217460000","9.2","908","8.9"
"KC","Air Astana","Asia Pacific","USD","129514000","0.8","N","23","50","0.114","12491000000","5.3","49","8.8"
"PR","Philippine Airlines","Asia Pacific","PHP","507044466","0.81","N","83","97","0.082","43734000000","9.2","78","8.8"
"CX","Cathay Pacific","Asia Pacific","HKD","1664200000","0.857","N","78","180","0.098","85607000000","11.1","181","7.7"
"SU","Aeroflot","Asia Pacific","RUB","2036990000","0.875","N","101","216","0.11","141000000000","8.9","349","8.8"
"DE","Condor","Europe","EUR","981203937","0.806","N","61","224","0.102","108697972267","11.4","239","8.8"
"FB","Bulgaria Air","Europe","BGN","981203937","0.806","N","61","224","0.102","108697972267","11.4","239","8.8"
"KM","Air Malta","Europe","EUR","981203937","0.806","N","61","224","0.102","108697972267","11.4","239","8.8"
"AZ","ITA Airways","Europe","EUR","981203937","0.806","N","61","224","0.102","108697972267","11.4","239","8.8"
"AM","Aeromexico","North America","MXN","981203937","0.806","N","61","224","0.102","108697972267","11.4","239","8.8"
"PD","Porter Airlines","North America","CAD","981203937","0.806","N","61","224","0.102","108697972267","11.4","239","8.8"
"9E","Endeavour Air","North America","USD","981203937","0.806","N","61","224","0.102","108697972267","11.4","239","8.8"
